# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|FlaPMI526_1|1712363|gm1.10333_g	3038.2	2981	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|FlaPMI526_1|949576|CE949255_10875	2171.2	2373	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|FlaPMI526_1|1598731|fgenesh1_kg.6_#_3318_#_TRINITY_DN4906_c0_g1_i1	3127.0	1784	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|FlaPMI526_1|1579280|fgenesh1_kg.2_#_2012_#_TRINITY_DN13474_c3_g1_i1	1571.3	1319	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|FlaPMI526_1|1524440|estExt_Genewise1Plus.C_4_t10312	1274.7	1814	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|FlaPMI526_1|1600499|fgenesh1_kg.7_#_838_#_TRINITY_DN13107_c0_g1_i1	2001.6	1908	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|FlaPMI526_1|1611696|fgenesh1_kg.11_#_707_#_TRINITY_DN13759_c0_g1_i1	2906.6	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|FlaPMI526_1|1602075|fgenesh1_kg.7_#_2414_#_TRINITY_DN13961_c2_g1_i1	537.9	865	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|FlaPMI526_1|1586115|fgenesh1_kg.3_#_4520_#_TRINITY_DN13729_c1_g1_i1	657.5	1164	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|FlaPMI526_1|1619502|fgenesh1_kg.15_#_1127_#_TRINITY_DN10891_c0_g1_i1	856.1	786	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|FlaPMI526_1|1493300|estExt_Genewise1.C_3_t30218	1154.2	897	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|FlaPMI526_1|1527610|estExt_Genewise1Plus.C_6_t30079	663.4	815	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|FlaPMI526_1|1602373|fgenesh1_kg.7_#_2712_#_TRINITY_DN13195_c3_g1_i1	2004.4	1459	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|FlaPMI526_1|1577551|fgenesh1_kg.2_#_283_#_TRINITY_DN12213_c1_g1_i1	934.9	1277	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|FlaPMI526_1|1668670|fgenesh1_pm.5_#_375	691.5	805	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|FlaPMI526_1|1575395|fgenesh1_kg.1_#_3706_#_TRINITY_DN7851_c0_g1_i1	709.1	694	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|FlaPMI526_1|1577443|fgenesh1_kg.2_#_175_#_TRINITY_DN10550_c0_g1_i2	2304.0	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|FlaPMI526_1|660772|CE660451_36545	1535.3	1098	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
