# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Ophnu1|1981117|OphioH327g2293	3082.8	3330	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Ophnu1|1978940|OphioH327g0122	2760.9	2570	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Ophnu1|1981095|OphioH327g2271	3267.7	1781	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Ophnu1|1986345|OphioH327g7506	1790.7	1339	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Ophnu1|1983691|OphioH327g4855	1268.7	1582	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Ophnu1|1982994|OphioH327g4161	2684.8	2144	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Ophnu1|1983832|OphioH327g4999	3041.6	1891	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Ophnu1|1986627|OphioH327g7784	768.1	990	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Ophnu1|1986326|OphioH327g7488	757.7	1101	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Ophnu1|1982842|OphioH327g4011	969.3	765	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Ophnu1|1980409|OphioH327g1586	1141.9	886	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Ophnu1|1979963|OphioH327g1144	792.5	838	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Ophnu1|1985938|OphioH327g7099	2126.1	1452	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Ophnu1|1985496|OphioH327g6652	1100.1	1326	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Ophnu1|1985979|OphioH327g7140	888.3	929	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	jgi|Ophnu1|1979556|OphioH327g0741	657.5	687	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Ophnu1|1983659|OphioH327g4823	2276.7	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Ophnu1|1979997|OphioH327g1178	1614.8	1151	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Ophnu1|1980451|OphioH327g1628	833.7	831	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Ophnu1|1981727|OphioH327g2901	1266.0	1192	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Ophnu1|1987213|OphioH327g8377	557.1	868	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Ophnu1|1987269|OphioH327g8429	1191.7	1057	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Ophnu1|1979404|OphioH327g0589	1433.4	975	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Ophnu1|1983787|OphioH327g4953	418.0	500	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Ophnu1|1980367|OphioH327g1546	1687.2	1269	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Ophnu1|1984204|OphioH327g5373	658.8	772	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Ophnu1|1985047|OphioH327g6210	1379.8	1385	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Complete	jgi|Ophnu1|1982441|OphioH327g3614	1422.5	823	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	jgi|Ophnu1|1983333|OphioH327g4499	1733.7	1368	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	jgi|Ophnu1|1984084|OphioH327g5252	1221.2	878	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	jgi|Ophnu1|1987126|OphioH327g8291	579.3	776	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	jgi|Ophnu1|1984392|OphioH327g5556	846.4	663	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Complete	jgi|Ophnu1|1979494|OphioH327g0679	879.6	607	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Complete	jgi|Ophnu1|1985102|OphioH327g6266	542.2	625	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	jgi|Ophnu1|1982571|OphioH327g3745	1267.5	790	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	jgi|Ophnu1|1981444|OphioH327g2621	1208.7	929	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	jgi|Ophnu1|1983885|OphioH327g5052	872.6	662	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	jgi|Ophnu1|1987024|OphioH327g8187	627.4	675	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	jgi|Ophnu1|1982854|OphioH327g4023	1053.1	773	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Complete	jgi|Ophnu1|1985978|OphioH327g7139	283.6	457	https://www.orthodb.org/v10?query=22992at4751	WD40/YVTN repeat-like-containing domain superfamily
23198at4751	Complete	jgi|Ophnu1|1986860|OphioH327g8018	1730.1	1187	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	jgi|Ophnu1|1978976|OphioH327g0158	973.0	1013	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	jgi|Ophnu1|1986362|OphioH327g7523	759.1	874	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	jgi|Ophnu1|1986077|OphioH327g7239	990.5	767	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Complete	jgi|Ophnu1|1986374|OphioH327g7535	322.6	541	https://www.orthodb.org/v10?query=25161at4751	Tetratricopeptide repeat
26329at4751	Complete	jgi|Ophnu1|1981683|OphioH327g2859	1488.8	954	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Complete	jgi|Ophnu1|1979222|OphioH327g0407	477.8	567	https://www.orthodb.org/v10?query=27008at4751	PAN2-PAN3 deadenylation complex catalytic subunit PAN2
29512at4751	Complete	jgi|Ophnu1|1983482|OphioH327g4648	653.2	623	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Complete	jgi|Ophnu1|1978922|OphioH327g0105	355.9	619	https://www.orthodb.org/v10?query=31256at4751	Armadillo-type fold
31324at4751	Complete	jgi|Ophnu1|1987214|OphioH327g8378	625.5	788	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
