# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Sodal1|379167|estExt_Genemark1.C_5_t10458	3215.7	3083	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Sodal1|350708|estExt_fgenesh1_pg.C_40333	3129.0	2502	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Sodal1|93308|CE93084_38017	3269.2	1813	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Sodal1|324934|fgenesh1_pg.6_#_452	1796.4	1384	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Sodal1|334497|fgenesh1_kg.7_#_157_#_Locus3531v1rpkm46.39	1606.3	1740	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Sodal1|299110|estExt_Genewise1.C_9_t10063	2723.9	2108	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Sodal1|333262|fgenesh1_kg.5_#_124_#_Locus1531v1rpkm106.73	3185.9	1882	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Sodal1|332864|fgenesh1_kg.4_#_333_#_Locus4665v1rpkm30.89	841.7	958	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Sodal1|277749|e_gw1.5.57.1	848.4	1039	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Sodal1|63506|CE63282_6757	997.8	821	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Sodal1|352209|estExt_fgenesh1_pg.C_80034	1144.0	885	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Sodal1|329668|fgenesh1_kg.13_#_15_#_Locus1509v1rpkm107.88	774.3	864	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
