# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Lobtra1|421821|estExt_Genemark1.C_160009	3029.6	3290	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Lobtra1|424208|estExt_Genemark1.C_330051	2724.8	2626	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Lobtra1|425941|estExt_Genemark1.C_540072	3074.7	1782	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Lobtra1|311793|e_gw1.46.25.1	1588.4	1274	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Lobtra1|424203|estExt_Genemark1.C_330046	1498.1	1734	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Lobtra1|320752|estExt_Genewise1.C_110258	2417.2	2164	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Lobtra1|399617|gm1.8415_g	3140.0	1880	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Lobtra1|323831|estExt_Genewise1.C_220142	712.4	923	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	jgi|Lobtra1|383567|estExt_fgenesh1_pg.C_30053	631.3	1119	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Lobtra1|370906|fgenesh1_pg.18_#_138	950.7	806	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Lobtra1|342978|estExt_Genewise1Plus.C_670015	1141.9	922	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Lobtra1|342607|estExt_Genewise1Plus.C_620004	699.9	823	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Lobtra1|369519|fgenesh1_pg.11_#_123	1980.1	1521	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
