# BUSCO version is: 4.1.1 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of species: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	jgi|Sisrad1|2606954|estExt_Genemark1.C_160077	2964.3	2919	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	jgi|Sisrad1|2610085|estExt_Genemark1.C_460039	2418.1	2409	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	jgi|Sisrad1|2339754|fgenesh1_kg.5_#_1251_#_TRINITY_DN4198_c0_g1_i1	3182.5	1791	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	jgi|Sisrad1|2605307|estExt_Genemark1.C_80063	1637.8	1343	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	jgi|Sisrad1|2396778|fgenesh1_kg.72_#_84_#_TRINITY_DN3162_c0_g1_i2	1392.5	1790	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	jgi|Sisrad1|2486071|MIX20676_2568_12	2201.2	1938	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	jgi|Sisrad1|2369877|fgenesh1_kg.25_#_385_#_TRINITY_DN6227_c1_g3_i2	2945.7	1853	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	jgi|Sisrad1|2368385|fgenesh1_kg.23_#_1404_#_TRINITY_DN4989_c0_g1_i13	576.6	846	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Duplicated	jgi|Sisrad1|2366352|fgenesh1_kg.22_#_637_#_TRINITY_DN4564_c0_g4_i1	617.4	1048	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6186at4751	Duplicated	jgi|Sisrad1|2422233|fgenesh1_kg.206_#_22_#_TRINITY_DN4564_c0_g4_i1	616.5	1048	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	jgi|Sisrad1|2470055|MIX4660_44146_39	832.9	787	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	jgi|Sisrad1|2435010|fgenesh1_pm.3_#_45	1108.2	902	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Complete	jgi|Sisrad1|2290657|e_gw1.17.196.1	628.3	787	https://www.orthodb.org/v10?query=6592at4751	Sec7 domain
6812at4751	Complete	jgi|Sisrad1|2363948|fgenesh1_kg.20_#_124_#_TRINITY_DN4176_c0_g1_i3	2024.3	1427	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	jgi|Sisrad1|2361296|fgenesh1_kg.17_#_973_#_TRINITY_DN3378_c1_g1_i2	1226.6	1320	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Complete	jgi|Sisrad1|2579058|estExt_Genewise1.C_380079	700.5	831	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Duplicated	jgi|Sisrad1|2554707|MIX89312_2154_12	662.7	667	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8406at4751	Duplicated	jgi|Sisrad1|2457033|gm1.8749_g	662.0	667	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	jgi|Sisrad1|2436264|fgenesh1_pm.12_#_1	2246.4	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	jgi|Sisrad1|2452686|gm1.4402_g	1435.3	1000	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	jgi|Sisrad1|2459176|gm1.10892_g	758.1	855	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Complete	jgi|Sisrad1|2470974|MIX5579_910_7	1078.6	1223	https://www.orthodb.org/v10?query=11140at4751	Protein dopey
11636at4751	Complete	jgi|Sisrad1|2382562|fgenesh1_kg.41_#_9_#_TRINITY_DN5962_c1_g1_i2	562.2	954	https://www.orthodb.org/v10?query=11636at4751	Tetratricopeptide repeat
11879at4751	Complete	jgi|Sisrad1|705618|CE705361_116572	1004.9	1020	https://www.orthodb.org/v10?query=11879at4751	HECT domain
12258at4751	Complete	jgi|Sisrad1|2333018|fgenesh1_kg.2_#_4563_#_TRINITY_DN5177_c1_g1_i3	1478.9	986	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	jgi|Sisrad1|2335315|fgenesh1_kg.3_#_1833_#_TRINITY_DN5125_c1_g1_i4	298.8	484	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Complete	jgi|Sisrad1|2329635|fgenesh1_kg.2_#_1180_#_TRINITY_DN5618_c1_g3_i1	1691.1	1268	https://www.orthodb.org/v10?query=12959at4751	Sec7, C-terminal
13224at4751	Complete	jgi|Sisrad1|1301145|CE1300888_15820	578.3	754	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	jgi|Sisrad1|2437200|fgenesh1_pm.20_#_42	1178.6	1380	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	jgi|Sisrad1|2347939|fgenesh1_kg.9_#_612_#_TRINITY_DN5952_c1_g1_i3	1252.3	800	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
